name,address
Glengarry Hospital,"1780 Fairfield Rd, Victoria, BC V8S 1G7"
Fernwood Maternity Medical Center,"1711 Cook St #301, Victoria, BC V8T 3P2"
Royal Jubilee Hospital,"1952 Bay St, Victoria, BC V8R 1J8"
Victoria Oceanside Health,"3066 Shelbourne St #235, Victoria, BC V8R 6T9"
"WELL Health Medical Centres -
 Hillside (Formerly Jack Nathan Hillside Medical)
","1644 Hillside Ave, Victoria, BC V8T 2C5"
James Bay Urgent and Primary Care Centre,"547 Michigan St B, Victoria, BC V8V 1S5"
Gorge Urgent and Primary Care Centre,"63 Gorge Rd E, Victoria, BC V9A 1L2"
Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3"
Moss Dental Fairfield Victoria,"143 Moss St, Victoria, BC V8V 4M2"
Cook Street Village Dental,"355 Cook St, Victoria, BC V8V 3X8"
Mount St. Mary Hospital,"861 Fairfield Rd, Victoria, BC V8V 5A9"
Focus On Dental Hygiene,"141 Menzies St, Victoria, BC V8V 2G4"
Dr. Amanda Bridge,"205 Cook St, Victoria, BC V8V 3X2"
Sitka Health Centre,"1284 Fairfield Rd, Victoria, BC V8V 4W3"
Capital Park Dental,"525 Superior St #110, Victoria, BC V8V 0E4"
Tall Tree Health,"555 Superior St, Victoria, BC V8V 0E4"
Avenue Family Dental ,"1831 Oak Bay Ave, Victoria, BC V8R 1C3"
Oak Bay Hearing Clinic,"1932 Oak Bay Ave, Victoria, BC V8R 4Z6"
Care2Talk Health | Private Primary Care Clinic (Victoria),"1918 Oak Bay Ave, Victoria, BC V8R 0B1"
Oak Bay DENTURE Clinic,"1935 Lee Ave, Victoria, BC V8R 4W9"
Royal Jubilee Hospital,"1952 Bay St, Victoria, BC V8R 1J8"
Hillside Veterinary Hospital,"1700 Kings Rd, Victoria, BC V8R 2P1"
Shelbourne Denture Centre Inc,"1702 Ryan St, Victoria, BC V8R 2X7"
Oaklands Health Clinic,"325-3066 Shelbourne St, Victoria, BC V8R 6T9"
LifeLabs Medical Laboratory Services,"1641 Hillside Ave #220, Victoria, BC V8R 4M8"
Oaklands Veterinary Hospital,"3115 Cedar Hill Rd, Victoria, BC V8T 3J4"
Yarrow Medical,"645 Fort St #104, Victoria, BC V8W 1G2"
My Victoria Dentist,"1070 Douglas St, Victoria, BC V8W 2C4"
City Center Dental Clinic,"608 Broughton St #200, Victoria, BC V8W 1C7"
Elements Dental,"1025 Johnson St Suite 401, Victoria, BC V8V 0G7"
Aberdeen Hospital,"1450 Hillside Ave, Victoria, BC V8T 2B7"
Victoria Professional Building,"1120 Yates St, Victoria, BC V8V 3M9"
Fernwood Maternity Medical Center,"1711 Cook St #301, Victoria, BC V8T 3P2"